Year,ICD Code,Description,Link,Cleaned Description
2025,T81.328,T81.328 Disruption or dehiscence of closure of other specified internal operation (surgical) wound,https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.328,Disruption or dehiscence of closure of other specified internal operation (surgical) wound
2025,T81.328A,"T81.328A Disruption or dehiscence of closure of other specified internal operation (surgical) wound, initial encounter",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.328A,"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, initial encounter"
2025,T81.328D,"T81.328D Disruption or dehiscence of closure of other specified internal operation (surgical) wound, subsequent encounter",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.328D,"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, subsequent encounter"
2025,T81.328S,"T81.328S Disruption or dehiscence of closure of other specified internal operation (surgical) wound, sequela",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.328S,"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, sequela"
2025,T81.329,"T81.329 Deep disruption or dehiscence of operation wound, unspecified",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.329,"Deep disruption or dehiscence of operation wound, unspecified"
2025,T81.329A,"T81.329A Deep disruption or dehiscence of operation wound, unspecified, initial encounter",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.329A,"Deep disruption or dehiscence of operation wound, unspecified, initial encounter"
2025,T81.329D,"T81.329D Deep disruption or dehiscence of operation wound, unspecified, subsequent encounter",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.329D,"Deep disruption or dehiscence of operation wound, unspecified, subsequent encounter"
2025,T81.329S,"T81.329S Deep disruption or dehiscence of operation wound, unspecified, sequela",https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88/T81-/T81.329S,"Deep disruption or dehiscence of operation wound, unspecified, sequela"
2025,Z15.1,Z15.1 Genetic susceptibility to epilepsy and neurodevelopmental disorders,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z14-Z15/Z15-/Z15.1,Genetic susceptibility to epilepsy and neurodevelopmental disorders
2025,Z15.2,Z15.2 Genetic susceptibility to obesity,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z14-Z15/Z15-/Z15.2,Genetic susceptibility to obesity
2025,Z17.2,Z17.2 Progesterone receptor status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.2,Progesterone receptor status
2025,Z17.21,Z17.21 Progesterone receptor positive status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.21,Progesterone receptor positive status
2025,Z17.22,Z17.22 Progesterone receptor negative status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.22,Progesterone receptor negative status
2025,Z17.3,Z17.3 Human epidermal growth factor 2 receptor,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.3,Human epidermal growth factor 2 receptor
2025,Z17.31,Z17.31 Human epidermal growth factor receptor 2 positive status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.31,Human epidermal growth factor receptor 2 positive status
2025,Z17.32,Z17.32 Human epidermal growth factor receptor 2 negative status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.32,Human epidermal growth factor receptor 2 negative status
2025,Z17.4,Z17.4 Combined receptor status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.4,Combined receptor status
2025,Z17.41,Z17.41 Hormone receptor positive,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.41,Hormone receptor positive
2025,Z17.410,Z17.410 Hormone receptor positive with human epidermal growth factor receptor 2 positive status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.410,Hormone receptor positive with human epidermal growth factor receptor 2 positive status
2025,Z17.411,Z17.411 Hormone receptor positive with human epidermal growth factor receptor 2 negative status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.411,Hormone receptor positive with human epidermal growth factor receptor 2 negative status
2025,Z17.42,Z17.42 Hormone receptor negative,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.42,Hormone receptor negative
2025,Z17.420,Z17.420 Hormone receptor negative with human epidermal growth factor receptor 2 positive status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.420,Hormone receptor negative with human epidermal growth factor receptor 2 positive status
2025,Z17.421,Z17.421 Hormone receptor negative with human epidermal growth factor receptor 2 negative status,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z17-Z17/Z17-/Z17.421,Hormone receptor negative with human epidermal growth factor receptor 2 negative status
2025,Z51.A,Z51.A Encounter for sepsis aftercare,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z40-Z53/Z51-/Z51.A,Encounter for sepsis aftercare
2025,Z59.7,Z59.7 Insufficient social insurance and welfare support,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z55-Z65/Z59-/Z59.7,Insufficient social insurance and welfare support
2025,Z59.71,Z59.71 Insufficient health insurance coverage,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z55-Z65/Z59-/Z59.71,Insufficient health insurance coverage
2025,Z59.72,Z59.72 Insufficient welfare support,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z55-Z65/Z59-/Z59.72,Insufficient welfare support
2025,Z67.A,Z67.A Duffy phenotype,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z67-Z67/Z67-/Z67.A,Duffy phenotype
2025,Z67.A1,Z67.A1 Duffy null,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z67-Z67/Z67-/Z67.A1,Duffy null
2025,Z67.A2,Z67.A2 Duffy a positive,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z67-Z67/Z67-/Z67.A2,Duffy a positive
2025,Z67.A3,Z67.A3 Duffy b positive,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z67-Z67/Z67-/Z67.A3,Duffy b positive
2025,Z67.A4,Z67.A4 Duffy a and b positive,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z67-Z67/Z67-/Z67.A4,Duffy a and b positive
2025,Z68.55,"Z68.55 Body mass index [BMI] pediatric, 120% of the 95th percentile for age to less than 140% of the 95th percentile for age",https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z68-Z68/Z68-/Z68.55,"Body mass index [BMI] pediatric, 120% of the 95th percentile for age to less than 140% of the 95th percentile for age"
2025,Z68.56,"Z68.56 Body mass index [BMI] pediatric, greater than or equal to 140% of the 95th percentile for age",https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z68-Z68/Z68-/Z68.56,"Body mass index [BMI] pediatric, greater than or equal to 140% of the 95th percentile for age"
2025,Z83.72,Z83.72 Family history of familial adenomatous polyposis,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z83-/Z83.72,Family history of familial adenomatous polyposis
2025,Z86.010,Z86.010 Personal history of colon polyps,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z86-/Z86.010,Personal history of colon polyps
2025,Z86.0100,"Z86.0100 Personal history of colon polyps, unspecified",https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z86-/Z86.0100,"Personal history of colon polyps, unspecified"
2025,Z86.0101,Z86.0101 Personal history of adenomatous and serrated colon polyps,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z86-/Z86.0101,Personal history of adenomatous and serrated colon polyps
2025,Z86.0102,Z86.0102 Personal history of hyperplastic colon polyps,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z86-/Z86.0102,Personal history of hyperplastic colon polyps
2025,Z86.0109,Z86.0109 Personal history of other colon polyps,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z86-/Z86.0109,Personal history of other colon polyps
2025,Z92.26,Z92.26 Personal history of immune checkpoint inhibitor therapy,https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z92-/Z92.26,Personal history of immune checkpoint inhibitor therapy
2024,A41.54,A41.54 Sepsis due to Acinetobacter baumannii,,Sepsis due to Acinetobacter baumannii
2024,B96.83,B96.83 Acinetobacter baumannii as the cause of diseases classified elsewhere,,Acinetobacter baumannii as the cause of diseases classified elsewhere
2024,D13.9,D13.9 Benign neoplasm of ill-defined sites within the digestive system,,Benign neoplasm of ill-defined sites within the digestive system
2024,D13.91,D13.91 Familial adenomatous polyposis,,Familial adenomatous polyposis
2024,D13.99,D13.99 Benign neoplasm of ill-defined sites within the digestive system,,Benign neoplasm of ill-defined sites within the digestive system
2024,D48.1,D48.1 Neoplasm of uncertain behavior of connective and other soft tissue,,Neoplasm of uncertain behavior of connective and other soft tissue
2024,D48.11,D48.11 Desmoid tumor,,Desmoid tumor
2024,D48.110,D48.110 Desmoid tumor of head and neck,,Desmoid tumor of head and neck
2024,D48.111,D48.111 Desmoid tumor of chest wall,,Desmoid tumor of chest wall
2024,D48.112,"D48.112 Desmoid tumor, intrathoracic",,"Desmoid tumor, intrathoracic"
2024,D48.113,D48.113 Desmoid tumor of abdominal wall,,Desmoid tumor of abdominal wall
2024,D48.114,"D48.114 Desmoid tumor, intraabdominal",,"Desmoid tumor, intraabdominal"
2024,D48.115,D48.115 Desmoid tumor of upper extremity and shoulder girdle,,Desmoid tumor of upper extremity and shoulder girdle
2024,D48.116,D48.116 Desmoid tumor of lower extremity and pelvic girdle,,Desmoid tumor of lower extremity and pelvic girdle
2024,D48.117,D48.117 Desmoid tumor of back,,Desmoid tumor of back
2024,D48.118,D48.118 Desmoid tumor of other site,,Desmoid tumor of other site
2024,D48.119,D48.119 Desmoid tumor of unspecified site,,Desmoid tumor of unspecified site
2024,D48.19,D48.19 Other specified neoplasm of uncertain behavior of connective and other soft tissue,,Other specified neoplasm of uncertain behavior of connective and other soft tissue
2024,D57.04,D57.04 Hb-SS disease with dactylitis,,Hb-SS disease with dactylitis
2024,D57.214,D57.214 Sickle-cell/Hb-C disease with dactylitis,,Sickle-cell/Hb-C disease with dactylitis
2024,D57.414,"D57.414 Sickle-cell thalassemia, unspecified, with dactylitis",,"Sickle-cell thalassemia, unspecified, with dactylitis"
2024,D57.434,D57.434 Sickle-cell thalassemia beta zero with dactylitis,,Sickle-cell thalassemia beta zero with dactylitis
2024,D57.454,D57.454 Sickle-cell thalassemia beta plus with dactylitis,,Sickle-cell thalassemia beta plus with dactylitis
2024,D57.814,D57.814 Other sickle-cell disorders with dactylitis,,Other sickle-cell disorders with dactylitis
2024,D61.02,D61.02 Shwachman-Diamond syndrome,,Shwachman-Diamond syndrome
2024,D89.84,D89.84 IgG4-related disease,,IgG4-related disease
2024,E20.8,E20.8 Other hypoparathyroidism,,Other hypoparathyroidism
2024,E20.81,E20.81 Hypoparathyroidism due to impaired parathyroid hormone secretion,,Hypoparathyroidism due to impaired parathyroid hormone secretion
2024,E20.810,E20.810 Autosomal dominant hypocalcemia,,Autosomal dominant hypocalcemia
2024,E20.811,E20.811 Secondary hypoparathyroidism in diseases classified elsewhere,,Secondary hypoparathyroidism in diseases classified elsewhere
2024,E20.812,E20.812 Autoimmune hypoparathyroidism,,Autoimmune hypoparathyroidism
2024,E20.818,E20.818 Other specified hypoparathyroidism due to impaired parathyroid hormone secretion,,Other specified hypoparathyroidism due to impaired parathyroid hormone secretion
2024,E20.819,"E20.819 Hypoparathyroidism due to impaired parathyroid hormone secretion, unspecified",,"Hypoparathyroidism due to impaired parathyroid hormone secretion, unspecified"
2024,E20.89,E20.89 Other specified hypoparathyroidism,,Other specified hypoparathyroidism
2024,E74.05,E74.05 Lysosome-associated membrane protein 2 [LAMP2] deficiency,,Lysosome-associated membrane protein 2 [LAMP2] deficiency
2024,E75.27,E75.27 Pelizaeus-Merzbacher disease,,Pelizaeus-Merzbacher disease
2024,E75.28,E75.28 Canavan disease,,Canavan disease
2024,E79.8,E79.8 Other disorders of purine and pyrimidine metabolism,,Other disorders of purine and pyrimidine metabolism
2024,E79.81,E79.81 Aicardi-Goutieres syndrome,,Aicardi-Goutieres syndrome
2024,E79.82,E79.82 Hereditary xanthinuria,,Hereditary xanthinuria
2024,E79.89,E79.89 Other specified disorders of purine and pyrimidine metabolism,,Other specified disorders of purine and pyrimidine metabolism
2024,E88.43,E88.43 Disorders of mitochondrial tRNA synthetases,,Disorders of mitochondrial tRNA synthetases
2024,E88.81,E88.81 Metabolic syndrome and other insulin resistance,,Metabolic syndrome and other insulin resistance
2024,E88.810,E88.810 Metabolic syndrome,,Metabolic syndrome
2024,E88.811,"E88.811 Insulin resistance syndrome, Type A",,"Insulin resistance syndrome, Type A"
2024,E88.818,E88.818 Other insulin resistance,,Other insulin resistance
2024,E88.819,"E88.819 Insulin resistance, unspecified",,"Insulin resistance, unspecified"
2024,E88.A,E88.A Wasting disease (syndrome) due to underlying condition,,Wasting disease (syndrome) due to underlying condition
2024,G11.5,G11.5 Hypomyelination - hypogonadotropic hypogonadism - hypodontia,,Hypomyelination - hypogonadotropic hypogonadism - hypodontia
2024,G11.6,G11.6 Leukodystrophy with vanishing white matter disease,,Leukodystrophy with vanishing white matter disease
2024,G20,G20 Parkinson's disease,,Parkinson's disease
2024,G20.A,G20.A Parkinson's disease without dyskinesia,,Parkinson's disease without dyskinesia
2024,G20.A1,"G20.A1 Parkinson's disease without dyskinesia, without mention of fluctuations",,"Parkinson's disease without dyskinesia, without mention of fluctuations"
2024,G20.A2,"G20.A2 Parkinson's disease without dyskinesia, with fluctuations",,"Parkinson's disease without dyskinesia, with fluctuations"
2024,G20.B,G20.B Parkinson's disease with dyskinesia,,Parkinson's disease with dyskinesia
2024,G20.B1,"G20.B1 Parkinson's disease with dyskinesia, without mention of fluctuations",,"Parkinson's disease with dyskinesia, without mention of fluctuations"
2024,G20.B2,"G20.B2 Parkinson's disease with dyskinesia, with fluctuations",,"Parkinson's disease with dyskinesia, with fluctuations"
2024,G20.C,"G20.C Parkinsonism, unspecified",,"Parkinsonism, unspecified"
2024,G23.3,G23.3 Hypomyelination with atrophy of the basal ganglia and cerebellum,,Hypomyelination with atrophy of the basal ganglia and cerebellum
2024,G31.80,"G31.80 Leukodystrophy, unspecified",,"Leukodystrophy, unspecified"
2024,G31.86,G31.86 Alexander disease,,Alexander disease
2024,G37.8,G37.8 Other specified demyelinating diseases of central nervous system,,Other specified demyelinating diseases of central nervous system
2024,G37.81,G37.81 Myelin oligodendrocyte glycoprotein antibody disease,,Myelin oligodendrocyte glycoprotein antibody disease
2024,G37.89,G37.89 Other specified demyelinating diseases of central nervous system,,Other specified demyelinating diseases of central nervous system
2024,G40.C,G40.C Lafora progressive myoclonus epilepsy,,Lafora progressive myoclonus epilepsy
2024,G40.C0,"G40.C0 Lafora progressive myoclonus epilepsy, not intractable",,"Lafora progressive myoclonus epilepsy, not intractable"
2024,G40.C01,"G40.C01 Lafora progressive myoclonus epilepsy, not intractable, with status epilepticus",,"Lafora progressive myoclonus epilepsy, not intractable, with status epilepticus"
2024,G40.C09,"G40.C09 Lafora progressive myoclonus epilepsy, not intractable, without status epilepticus",,"Lafora progressive myoclonus epilepsy, not intractable, without status epilepticus"
2024,G40.C1,"G40.C1 Lafora progressive myoclonus epilepsy, intractable",,"Lafora progressive myoclonus epilepsy, intractable"
2024,G40.C11,"G40.C11 Lafora progressive myoclonus epilepsy, intractable, with status epilepticus",,"Lafora progressive myoclonus epilepsy, intractable, with status epilepticus"
2024,G40.C19,"G40.C19 Lafora progressive myoclonus epilepsy, intractable, without status epilepticus",,"Lafora progressive myoclonus epilepsy, intractable, without status epilepticus"
2024,G43.E,G43.E Chronic migraine with aura,,Chronic migraine with aura
2024,G43.E0,"G43.E0 Chronic migraine with aura, not intractable",,"Chronic migraine with aura, not intractable"
2024,G43.E01,"G43.E01 Chronic migraine with aura, not intractable, with status migrainosus",,"Chronic migraine with aura, not intractable, with status migrainosus"
2024,G43.E09,"G43.E09 Chronic migraine with aura, not intractable, without status migrainosus",,"Chronic migraine with aura, not intractable, without status migrainosus"
2024,G43.E1,"G43.E1 Chronic migraine with aura, intractable",,"Chronic migraine with aura, intractable"
2024,G43.E11,"G43.E11 Chronic migraine with aura, intractable, with status migrainosus",,"Chronic migraine with aura, intractable, with status migrainosus"
2024,G43.E19,"G43.E19 Chronic migraine with aura, intractable, without status migrainosus",,"Chronic migraine with aura, intractable, without status migrainosus"
2024,G90.B,G90.B LMNB1-related autosomal dominant leukodystrophy,,LMNB1-related autosomal dominant leukodystrophy
2024,G93.42,G93.42 Megaloencephalic leukoencephalopathy with subcortical cysts,,Megaloencephalic leukoencephalopathy with subcortical cysts
2024,G93.43,G93.43 Leukoencephalopathy with calcifications and cysts,,Leukoencephalopathy with calcifications and cysts
2024,G93.44,G93.44 Adult-onset leukodystrophy with axonal spheroids,,Adult-onset leukodystrophy with axonal spheroids
2024,H36,H36 Retinal disorders in diseases classified elsewhere,,Retinal disorders in diseases classified elsewhere
2024,H36.8,H36.8 Other retinal disorders in diseases classified elsewhere,,Other retinal disorders in diseases classified elsewhere
2024,H36.81,H36.81 Nonproliferative sickle-cell retinopathy,,Nonproliferative sickle-cell retinopathy
2024,H36.811,"H36.811 Nonproliferative sickle-cell retinopathy, right eye",,"Nonproliferative sickle-cell retinopathy, right eye"
2024,H36.812,"H36.812 Nonproliferative sickle-cell retinopathy, left eye",,"Nonproliferative sickle-cell retinopathy, left eye"
2024,H36.813,"H36.813 Nonproliferative sickle-cell retinopathy, bilateral",,"Nonproliferative sickle-cell retinopathy, bilateral"
2024,H36.819,"H36.819 Nonproliferative sickle-cell retinopathy, unspecified eye",,"Nonproliferative sickle-cell retinopathy, unspecified eye"
2024,H36.82,H36.82 Proliferative sickle-cell retinopathy,,Proliferative sickle-cell retinopathy
2024,H36.821,"H36.821 Proliferative sickle-cell retinopathy, right eye",,"Proliferative sickle-cell retinopathy, right eye"
2024,H36.822,"H36.822 Proliferative sickle-cell retinopathy, left eye",,"Proliferative sickle-cell retinopathy, left eye"
2024,H36.823,"H36.823 Proliferative sickle-cell retinopathy, bilateral",,"Proliferative sickle-cell retinopathy, bilateral"
2024,H36.829,"H36.829 Proliferative sickle-cell retinopathy, unspecified eye",,"Proliferative sickle-cell retinopathy, unspecified eye"
2024,H36.89,H36.89 Other retinal disorders in diseases classified elsewhere,,Other retinal disorders in diseases classified elsewhere
2024,H50.62,H50.62 Inferior oblique muscle entrapment,,Inferior oblique muscle entrapment
2024,H50.621,"H50.621 Inferior oblique muscle entrapment, right eye",,"Inferior oblique muscle entrapment, right eye"
2024,H50.622,"H50.622 Inferior oblique muscle entrapment, left eye",,"Inferior oblique muscle entrapment, left eye"
2024,H50.629,"H50.629 Inferior oblique muscle entrapment, unspecified eye",,"Inferior oblique muscle entrapment, unspecified eye"
2024,H50.63,H50.63 Inferior rectus muscle entrapment,,Inferior rectus muscle entrapment
2024,H50.631,"H50.631 Inferior rectus muscle entrapment, right eye",,"Inferior rectus muscle entrapment, right eye"
2024,H50.632,"H50.632 Inferior rectus muscle entrapment, left eye",,"Inferior rectus muscle entrapment, left eye"
2024,H50.639,"H50.639 Inferior rectus muscle entrapment, unspecified eye",,"Inferior rectus muscle entrapment, unspecified eye"
2024,H50.64,H50.64 Lateral rectus muscle entrapment,,Lateral rectus muscle entrapment
2024,H50.641,"H50.641 Lateral rectus muscle entrapment, right eye",,"Lateral rectus muscle entrapment, right eye"
2024,H50.642,"H50.642 Lateral rectus muscle entrapment, left eye",,"Lateral rectus muscle entrapment, left eye"
2024,H50.649,"H50.649 Lateral rectus muscle entrapment, unspecified eye",,"Lateral rectus muscle entrapment, unspecified eye"
2024,H50.65,H50.65 Medial rectus muscle entrapment,,Medial rectus muscle entrapment
2024,H50.651,"H50.651 Medial rectus muscle entrapment, right eye",,"Medial rectus muscle entrapment, right eye"
2024,H50.652,"H50.652 Medial rectus muscle entrapment, left eye",,"Medial rectus muscle entrapment, left eye"
2024,H50.659,"H50.659 Medial rectus muscle entrapment, unspecified eye",,"Medial rectus muscle entrapment, unspecified eye"
2024,H50.66,H50.66 Superior oblique muscle entrapment,,Superior oblique muscle entrapment
2024,H50.661,"H50.661 Superior oblique muscle entrapment, right eye",,"Superior oblique muscle entrapment, right eye"
2024,H50.662,"H50.662 Superior oblique muscle entrapment, left eye",,"Superior oblique muscle entrapment, left eye"
2024,H50.669,"H50.669 Superior oblique muscle entrapment, unspecified eye",,"Superior oblique muscle entrapment, unspecified eye"
2024,H50.67,H50.67 Superior rectus muscle entrapment,,Superior rectus muscle entrapment
2024,H50.671,"H50.671 Superior rectus muscle entrapment, right eye",,"Superior rectus muscle entrapment, right eye"
2024,H50.672,"H50.672 Superior rectus muscle entrapment, left eye",,"Superior rectus muscle entrapment, left eye"
2024,H50.679,"H50.679 Superior rectus muscle entrapment, unspecified eye",,"Superior rectus muscle entrapment, unspecified eye"
2024,H50.68,"H50.68 Extraocular muscle entrapment, unspecified",,"Extraocular muscle entrapment, unspecified"
2024,H50.681,"H50.681 Extraocular muscle entrapment, unspecified, right eye",,"Extraocular muscle entrapment, unspecified, right eye"
2024,H50.682,"H50.682 Extraocular muscle entrapment, unspecified, left eye",,"Extraocular muscle entrapment, unspecified, left eye"
2024,H50.689,"H50.689 Extraocular muscle entrapment, unspecified, unspecified eye",,"Extraocular muscle entrapment, unspecified, unspecified eye"
2024,H54.512,"H54.512 Low vision, right eye, category 2",,"Low vision, right eye, category 2"
2024,H57.8A,H57.8A Foreign body sensation eye (ocular),,Foreign body sensation eye (ocular)
2024,H57.8A1,"H57.8A1 Foreign body sensation, right eye",,"Foreign body sensation, right eye"
2024,H57.8A2,"H57.8A2 Foreign body sensation, left eye",,"Foreign body sensation, left eye"
2024,H57.8A3,"H57.8A3 Foreign body sensation, bilateral eyes",,"Foreign body sensation, bilateral eyes"
2024,H57.8A9,"H57.8A9 Foreign body sensation, unspecified eye",,"Foreign body sensation, unspecified eye"
2024,I1A,I1A Other hypertension,,Other hypertension
2024,I1A.0,I1A.0 Resistant hypertension,,Resistant hypertension
2024,I20.8,I20.8 Other forms of angina pectoris,,Other forms of angina pectoris
2024,I20.81,I20.81 Angina pectoris with coronary microvascular dysfunction,,Angina pectoris with coronary microvascular dysfunction
2024,I20.89,I20.89 Other forms of angina pectoris,,Other forms of angina pectoris
2024,I21.B,I21.B Myocardial infarction with coronary microvascular dysfunction,,Myocardial infarction with coronary microvascular dysfunction
2024,I24.8,I24.8 Other forms of acute ischemic heart disease,,Other forms of acute ischemic heart disease
2024,I24.81,I24.81 Acute coronary microvascular dysfunction,,Acute coronary microvascular dysfunction
2024,I24.89,I24.89 Other forms of acute ischemic heart disease,,Other forms of acute ischemic heart disease
2024,I25.85,I25.85 Chronic coronary microvascular dysfunction,,Chronic coronary microvascular dysfunction
2024,I47.1,I47.1 Supraventricular tachycardia,,Supraventricular tachycardia
2024,I47.10,"I47.10 Supraventricular tachycardia, unspecified",,"Supraventricular tachycardia, unspecified"
2024,I47.11,"I47.11 Inappropriate sinus tachycardia, so stated",,"Inappropriate sinus tachycardia, so stated"
2024,I47.19,I47.19 Other supraventricular tachycardia,,Other supraventricular tachycardia
2024,J15.6,J15.6 Pneumonia due to other Gram-negative bacteria,,Pneumonia due to other Gram-negative bacteria
2024,J15.61,J15.61 Pneumonia due to Acinetobacter baumannii,,Pneumonia due to Acinetobacter baumannii
2024,J15.69,J15.69 Pneumonia due to other Gram-negative bacteria,,Pneumonia due to other Gram-negative bacteria
2024,J44.8,J44.8 Other specified chronic obstructive pulmonary disease,,Other specified chronic obstructive pulmonary disease
2024,J44.81,J44.81 Bronchiolitis obliterans and bronchiolitis obliterans syndrome,,Bronchiolitis obliterans and bronchiolitis obliterans syndrome
2024,J44.89,J44.89 Other specified chronic obstructive pulmonary disease,,Other specified chronic obstructive pulmonary disease
2024,J4A,J4A Chronic lung allograft dysfunction,,Chronic lung allograft dysfunction
2024,J4A.0,J4A.0 Restrictive allograft syndrome,,Restrictive allograft syndrome
2024,J4A.8,J4A.8 Other chronic lung allograft dysfunction,,Other chronic lung allograft dysfunction
2024,J4A.9,"J4A.9 Chronic lung allograft dysfunction, unspecified",,"Chronic lung allograft dysfunction, unspecified"
2024,K35.20,"K35.20 Acute appendicitis with generalized peritonitis, without abscess",,"Acute appendicitis with generalized peritonitis, without abscess"
2024,K35.200,"K35.200 Acute appendicitis with generalized peritonitis, without perforation or abscess",,"Acute appendicitis with generalized peritonitis, without perforation or abscess"
2024,K35.201,"K35.201 Acute appendicitis with generalized peritonitis, with perforation, without abscess",,"Acute appendicitis with generalized peritonitis, with perforation, without abscess"
2024,K35.209,"K35.209 Acute appendicitis with generalized peritonitis, without abscess, unspecified as to perforation",,"Acute appendicitis with generalized peritonitis, without abscess, unspecified as to perforation"
2024,K35.21,"K35.21 Acute appendicitis with generalized peritonitis, with abscess",,"Acute appendicitis with generalized peritonitis, with abscess"
2024,K35.210,"K35.210 Acute appendicitis with generalized peritonitis, without perforation, with abscess",,"Acute appendicitis with generalized peritonitis, without perforation, with abscess"
2024,K35.211,"K35.211 Acute appendicitis with generalized peritonitis, with perforation and abscess",,"Acute appendicitis with generalized peritonitis, with perforation and abscess"
2024,K35.219,"K35.219 Acute appendicitis with generalized peritonitis, with abscess, unspecified as to perforation",,"Acute appendicitis with generalized peritonitis, with abscess, unspecified as to perforation"
2024,K63.82,K63.82 Intestinal microbial overgrowth,,Intestinal microbial overgrowth
2024,K63.821,K63.821 Small intestinal bacterial overgrowth,,Small intestinal bacterial overgrowth
2024,K63.8211,"K63.8211 Small intestinal bacterial overgrowth, hydrogen-subtype",,"Small intestinal bacterial overgrowth, hydrogen-subtype"
2024,K63.8212,"K63.8212 Small intestinal bacterial overgrowth, hydrogen sulfide-subtype",,"Small intestinal bacterial overgrowth, hydrogen sulfide-subtype"
2024,K63.8219,"K63.8219 Small intestinal bacterial overgrowth, unspecified",,"Small intestinal bacterial overgrowth, unspecified"
2024,K63.822,K63.822 Small intestinal fungal overgrowth,,Small intestinal fungal overgrowth
2024,K63.829,"K63.829 Intestinal methanogen overgrowth, unspecified",,"Intestinal methanogen overgrowth, unspecified"
2024,K68.2,K68.2 Retroperitoneal fibrosis,,Retroperitoneal fibrosis
2024,K68.3,K68.3 Retroperitoneal hematoma,,Retroperitoneal hematoma
2024,K90.82,K90.82 Short bowel syndrome,,Short bowel syndrome
2024,K90.821,K90.821 Short bowel syndrome with colon in continuity,,Short bowel syndrome with colon in continuity
2024,K90.822,K90.822 Short bowel syndrome without colon in continuity,,Short bowel syndrome without colon in continuity
2024,K90.829,"K90.829 Short bowel syndrome, unspecified",,"Short bowel syndrome, unspecified"
2024,K90.83,K90.83 Intestinal failure,,Intestinal failure
2024,M80.0B,"M80.0B Age-related osteoporosis with current pathological fracture, pelvis",,"Age-related osteoporosis with current pathological fracture, pelvis"
2024,M80.0B1,"M80.0B1 Age-related osteoporosis with current pathological fracture, right pelvis",,"Age-related osteoporosis with current pathological fracture, right pelvis"
2024,M80.0B1A,"M80.0B1A Age-related osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture",,"Age-related osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture"
