Description,ICD Code
"Maternal care for (suspected) central nervous system malformation or damage in fetus, holoprosencephaly, fetus 4",O35.05X4
"Maternal care for (suspected) central nervous system malformation or damage in fetus, holoprosencephaly, fetus 5",O35.05X5
"Maternal care for (suspected) central nervous system malformation or damage in fetus, holoprosencephaly, other fetus",O35.05X9
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly",O35.06
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, not applicable or unspecified",O35.06X0
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, fetus 1",O35.06X1
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, fetus 2",O35.06X2
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, fetus 3",O35.06X3
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, fetus 4",O35.06X4
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, fetus 5",O35.06X5
"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, other fetus",O35.06X9
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly",O35.07
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, not applicable or unspecified",O35.07X0
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, fetus 1",O35.07X1
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, fetus 2",O35.07X2
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, fetus 3",O35.07X3
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, fetus 4",O35.07X4
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, fetus 5",O35.07X5
"Maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, other fetus",O35.07X9
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida",O35.08
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, not applicable or unspecified",O35.08X0
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, fetus 1",O35.08X1
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, fetus 2",O35.08X2
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, fetus 3",O35.08X3
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, fetus 4",O35.08X4
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, fetus 5",O35.08X5
"Maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, other fetus",O35.08X9
Maternal care for (suspected) other central nervous system malformation or damage in fetus,O35.09
"Maternal care for (suspected) other central nervous system malformation or damage in fetus, not applicable or unspecified",O35.09X0
"Maternal care for (suspected) other central nervous system malformation or damage in fetus, fetus 1",O35.09X1
"Maternal care for (suspected) other central nervous system malformation or damage in fetus, fetus 2",O35.09X2
"Maternal care for (suspected) other central nervous system malformation or damage in fetus, fetus 3",O35.09X3
"Maternal care for (suspected) other central nervous system malformation or damage in fetus, fetus 4",O35.09X4
"Maternal care for (suspected) other central nervous system malformation or damage in fetus, fetus 5",O35.09X5
"Maternal care for (suspected) other central nervous system malformation or damage in fetus, other fetus",O35.09X9
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified",O35.10
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified, not applicable or unspecified",O35.10X0
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 1",O35.10X1
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 2",O35.10X2
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 3",O35.10X3
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 4",O35.10X4
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 5",O35.10X5
"Maternal care for (suspected) chromosomal abnormality in fetus, unspecified, other fetus",O35.10X9
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13",O35.11
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, not applicable or unspecified",O35.11X0
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, fetus 1",O35.11X1
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, fetus 2",O35.11X2
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, fetus 3",O35.11X3
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, fetus 4",O35.11X4
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, fetus 5",O35.11X5
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, other fetus",O35.11X9
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18",O35.12
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18, not applicable or unspecified",O35.12X0
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18, fetus 1",O35.12X1
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18, fetus 2",O35.12X2
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18, fetus 3",O35.12X3
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18, fetus 4",O35.12X4
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18, fetus 5",O35.12X5
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 18, other fetus",O35.12X9
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21",O35.13
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21, not applicable or unspecified",O35.13X0
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21, fetus 1",O35.13X1
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21, fetus 2",O35.13X2
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21, fetus 3",O35.13X3
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21, fetus 4",O35.13X4
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21, fetus 5",O35.13X5
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 21, other fetus",O35.13X9
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome",O35.14
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, not applicable or unspecified",O35.14X0
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, fetus 1",O35.14X1
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, fetus 2",O35.14X2
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, fetus 3",O35.14X3
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, fetus 4",O35.14X4
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, fetus 5",O35.14X5
"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, other fetus",O35.14X9
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality",O35.15
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, not applicable or unspecified",O35.15X0
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, fetus 1",O35.15X1
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, fetus 2",O35.15X2
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, fetus 3",O35.15X3
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, fetus 4",O35.15X4
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, fetus 5",O35.15X5
"Maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, other fetus",O35.15X9
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality",O35.19
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, not applicable or unspecified",O35.19X0
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, fetus 1",O35.19X1
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, fetus 2",O35.19X2
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, fetus 3",O35.19X3
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, fetus 4",O35.19X4
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, fetus 5",O35.19X5
"Maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, other fetus",O35.19X9
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies",O35.A
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, not applicable or unspecified",O35.AXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, fetus 1",O35.AXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, fetus 2",O35.AXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, fetus 3",O35.AXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, fetus 4",O35.AXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, fetus 5",O35.AXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, other fetus",O35.AXX9
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies",O35.B
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, not applicable or unspecified",O35.BXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, fetus 1",O35.BXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, fetus 2",O35.BXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, fetus 3",O35.BXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, fetus 4",O35.BXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, fetus 5",O35.BXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, other fetus",O35.BXX9
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies",O35.C
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, not applicable or unspecified",O35.CXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, fetus 1",O35.CXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, fetus 2",O35.CXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, fetus 3",O35.CXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, fetus 4",O35.CXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, fetus 5",O35.CXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, other fetus",O35.CXX9
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies",O35.D
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, not applicable or unspecified",O35.DXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, fetus 1",O35.DXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, fetus 2",O35.DXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, fetus 3",O35.DXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, fetus 4",O35.DXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, fetus 5",O35.DXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, other fetus",O35.DXX9
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies",O35.E
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, not applicable or unspecified",O35.EXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, fetus 1",O35.EXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, fetus 2",O35.EXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, fetus 3",O35.EXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, fetus 4",O35.EXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, fetus 5",O35.EXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, other fetus",O35.EXX9
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk",O35.F
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, not applicable or unspecified",O35.FXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, fetus 1",O35.FXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, fetus 2",O35.FXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, fetus 3",O35.FXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, fetus 4",O35.FXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, fetus 5",O35.FXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, other fetus",O35.FXX9
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies",O35.G
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, not applicable or unspecified",O35.GXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, fetus 1",O35.GXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, fetus 2",O35.GXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, fetus 3",O35.GXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, fetus 4",O35.GXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, fetus 5",O35.GXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, other fetus",O35.GXX9
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies",O35.H
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, not applicable or unspecified",O35.HXX0
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, fetus 1",O35.HXX1
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, fetus 2",O35.HXX2
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, fetus 3",O35.HXX3
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, fetus 4",O35.HXX4
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, fetus 5",O35.HXX5
"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, other fetus",O35.HXX9
Primary sleep apnea of newborn,P28.3
"Primary sleep apnea of newborn, unspecified",P28.30
Primary central sleep apnea of newborn,P28.31
Primary obstructive sleep apnea of newborn,P28.32
Primary mixed sleep apnea of newborn,P28.33
Other primary sleep apnea of newborn,P28.39
Other apnea of newborn,P28.4
Unspecified apnea of newborn,P28.40
Central neonatal apnea of newborn,P28.41
Obstructive apnea of newborn,P28.42
Mixed neonatal apnea of newborn,P28.43
Other apnea of newborn,P28.49
Atrial septal defect,Q21.1
"Atrial septal defect, unspecified",Q21.10
Secundum atrial septal defect,Q21.11
Patent foramen ovale,Q21.12
Coronary sinus atrial septal defect,Q21.13
Superior sinus venosus atrial septal defect,Q21.14
Inferior sinus venosus atrial septal defect,Q21.15
"Sinus venosus atrial septal defect, unspecified",Q21.16
Other specified atrial septal defect,Q21.19
Atrioventricular septal defect,Q21.2
"Atrioventricular septal defect, unspecified as to partial or complete",Q21.20
Partial atrioventricular septal defect,Q21.21
Transitional atrioventricular septal defect,Q21.22
Complete atrioventricular septal defect,Q21.23
"Other phakomatoses, not elsewhere classified",Q85.8
PTEN tumor syndrome,Q85.81
Other Cowden syndrome,Q85.82
Von Hippel-Lindau syndrome,Q85.83
"Other phakomatoses, not elsewhere classified",Q85.89
Concussion with loss of consciousness status unknown,S06.0XA
"Concussion with loss of consciousness status unknown, initial encounter",S06.0XAA
"Concussion with loss of consciousness status unknown, subsequent encounter",S06.0XAD
"Concussion with loss of consciousness status unknown, sequela",S06.0XAS
Traumatic cerebral edema with loss of consciousness status unknown,S06.1XA
"Traumatic cerebral edema with loss of consciousness status unknown, initial encounter",S06.1XAA
"Traumatic cerebral edema with loss of consciousness status unknown, subsequent encounter",S06.1XAD
"Traumatic cerebral edema with loss of consciousness status unknown, sequela",S06.1XAS
Diffuse traumatic brain injury with loss of consciousness status unknown,S06.2XA
"Diffuse traumatic brain injury with loss of consciousness status unknown, initial encounter",S06.2XAA
"Diffuse traumatic brain injury with loss of consciousness status unknown, subsequent encounter",S06.2XAD
"Diffuse traumatic brain injury with loss of consciousness status unknown, sequela",S06.2XAS
Unspecified focal traumatic brain injury with loss of consciousness status unknown,S06.30A
"Unspecified focal traumatic brain injury with loss of consciousness status unknown, initial encounter",S06.30AA
"Unspecified focal traumatic brain injury with loss of consciousness status unknown, subsequent encounter",S06.30AD
"Unspecified focal traumatic brain injury with loss of consciousness status unknown, sequela",S06.30AS
Contusion and laceration of right cerebrum with loss of consciousness status unknown,S06.31A
"Contusion and laceration of right cerebrum with loss of consciousness status unknown, initial encounter",S06.31AA
"Contusion and laceration of right cerebrum with loss of consciousness status unknown, subsequent encounter",S06.31AD
"Contusion and laceration of right cerebrum with loss of consciousness status unknown, sequela",S06.31AS
Contusion and laceration of left cerebrum with loss of consciousness status unknown,S06.32A
"Contusion and laceration of left cerebrum with loss of consciousness status unknown, initial encounter",S06.32AA
"Contusion and laceration of left cerebrum with loss of consciousness status unknown, subsequent encounter",S06.32AD
"Contusion and laceration of left cerebrum with loss of consciousness status unknown, sequela",S06.32AS
"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown",S06.33A
"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, initial encounter",S06.33AA
"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter",S06.33AD
"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, sequela",S06.33AS
Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown,S06.34A
"Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, initial encounter",S06.34AA
"Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, subsequent encounter",S06.34AD
"Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, sequela",S06.34AS
Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown,S06.35A
"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, initial encounter",S06.35AA
"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, subsequent encounter",S06.35AD
"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, sequela",S06.35AS
"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown",S06.36A
"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, initial encounter",S06.36AA
"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter",S06.36AD
"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, sequela",S06.36AS
"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown",S06.37A
"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, initial encounter",S06.37AA
"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, subsequent encounter",S06.37AD
"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, sequela",S06.37AS
"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown",S06.38A
"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, initial encounter",S06.38AA
"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, subsequent encounter",S06.38AD
"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, sequela",S06.38AS
Epidural hemorrhage with loss of consciousness status unknown,S06.4XA
"Epidural hemorrhage with loss of consciousness status unknown, initial encounter",S06.4XAA
"Epidural hemorrhage with loss of consciousness status unknown, subsequent encounter",S06.4XAD
"Epidural hemorrhage with loss of consciousness status unknown, sequela",S06.4XAS
Traumatic subdural hemorrhage with loss of consciousness status unknown,S06.5XA
"Traumatic subdural hemorrhage with loss of consciousness status unknown, initial encounter",S06.5XAA
"Traumatic subdural hemorrhage with loss of consciousness status unknown, subsequent encounter",S06.5XAD
"Traumatic subdural hemorrhage with loss of consciousness status unknown, sequela",S06.5XAS
Traumatic subarachnoid hemorrhage with loss of consciousness status unknown,S06.6XA
"Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, initial encounter",S06.6XAA
"Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, subsequent encounter",S06.6XAD
"Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, sequela",S06.6XAS
"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown",S06.81A
"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, initial encounter",S06.81AA
"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, subsequent encounter",S06.81AD
"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, sequela",S06.81AS
"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown",S06.82A
"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, initial encounter",S06.82AA
"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, subsequent encounter",S06.82AD
"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, sequela",S06.82AS
Other specified intracranial injury with loss of consciousness status unknown,S06.89A
"Other specified intracranial injury with loss of consciousness status unknown, initial encounter",S06.89AA
"Other specified intracranial injury with loss of consciousness status unknown, subsequent encounter",S06.89AD
"Other specified intracranial injury with loss of consciousness status unknown, sequela",S06.89AS
"Primary blast injury of brain, not elsewhere classified",S06.8A
"Primary blast injury of brain, not elsewhere classified without loss of consciousness",S06.8A0
"Primary blast injury of brain, not elsewhere classified without loss of consciousness, initial encounter",S06.8A0A
"Primary blast injury of brain, not elsewhere classified without loss of consciousness, subsequent encounter",S06.8A0D
"Primary blast injury of brain, not elsewhere classified without loss of consciousness, sequela",S06.8A0S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less",S06.8A1
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less, initial encounter",S06.8A1A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less, subsequent encounter",S06.8A1D
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela",S06.8A1S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes",S06.8A2
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, initial encounter",S06.8A2A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06.8A2D
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela",S06.8A2S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes",S06.8A3
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",S06.8A3A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",S06.8A3D
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",S06.8A3S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours",S06.8A4
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, initial encounter",S06.8A4A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06.8A4D
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela",S06.8A4S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level",S06.8A5
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06.8A5A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",S06.8A5D
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",S06.8A5S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving",S06.8A6
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",S06.8A6A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",S06.8A6D
"Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",S06.8A6S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",S06.8A7
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",S06.8A7A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness",S06.8A8
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06.8A8A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration",S06.8A9
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration, initial encounter",S06.8A9A
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration, subsequent encounter",S06.8A9D
"Primary blast injury of brain, not elsewhere classified with loss of consciousness of unspecified duration, sequela",S06.8A9S
"Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown",S06.8AA
"Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown, initial encounter",S06.8AAA
"Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown, subsequent encounter",S06.8AAD
"Primary blast injury of brain, not elsewhere classified with loss of consciousness status unknown, sequela",S06.8AAS
Unspecified intracranial injury with loss of consciousness status unknown,S06.9XA
"Unspecified intracranial injury with loss of consciousness status unknown, initial encounter",S06.9XAA
"Unspecified intracranial injury with loss of consciousness status unknown, subsequent encounter",S06.9XAD
"Unspecified intracranial injury with loss of consciousness status unknown, sequela",S06.9XAS
"Poisoning by, adverse effect of and underdosing of methamphetamines",T43.65
Poisoning by methamphetamines accidental (unintentional),T43.651
"Poisoning by methamphetamines accidental (unintentional), initial encounter",T43.651A
"Poisoning by methamphetamines accidental (unintentional), subsequent encounter",T43.651D
"Poisoning by methamphetamines accidental (unintentional), sequela",T43.651S
Poisoning by methamphetamines intentional self-harm,T43.652
"Poisoning by methamphetamines intentional self-harm, initial encounter",T43.652A
"Poisoning by methamphetamines intentional self-harm, subsequent encounter",T43.652D
"Poisoning by methamphetamines intentional self-harm, sequela",T43.652S
"Poisoning by methamphetamines, assault",T43.653
"Poisoning by methamphetamines, assault, initial encounter",T43.653A
"Poisoning by methamphetamines, assault, subsequent encounter",T43.653D
"Poisoning by methamphetamines, assault, sequela",T43.653S
"Poisoning by methamphetamines, undetermined",T43.654
"Poisoning by methamphetamines, undetermined, initial encounter",T43.654A
"Poisoning by methamphetamines, undetermined, subsequent encounter",T43.654D
